id,latitude,longitude
72fcea4d-8d9a-4004-a7ad-aa06a1fffb93,23.0326851,72.5601
e3376da9-d828-4e3c-8825-c9fe5590c57f,23.0426653,72.5490698
65b1a2cd-1dfd-435c-a9b9-51621f69a5c4,23.0426838,72.5491598
97eef156-b519-4d2e-9aa8-327c32429f9d,23.0427263,72.5490976
897b2b6d-476f-46c0-95c3-2c10e4f6da9e,23.0426252,72.5491345
905f12ca-8ab5-405f-8e91-c4cad2f1c157,23.0365219,72.5610405
fab7b2d7-d0b9-4d70-ace5-1d7d96e66834,23.0366171,72.5610824
b90fcbab-3c11-4103-b9b7-02eac763a37c,23.0364719,72.5611405
272ecd12-08c7-41cb-9517-6640e241e04c,23.0365662,72.561175
e08cb664-8886-4433-8c58-7a0466e119d3,23.0326438,72.5599639
d4d86779-2603-477a-ab9d-4f4a914a30b1,23.0326349,72.560077
96b2d65c-22a0-40c8-9bd1-f4893d0f994a,23.0327015,72.5599899
538f97cd-02ce-4159-b419-e640bd048de0,23.0223911,72.5559952
1154f6d7-1f3a-49d5-a195-2fb399e31f88,23.0222915,72.5562383
bf3ee69e-58fa-4ce0-993e-940c5468c94c,23.0195352,72.5574355
866a1a11-bd2f-4052-926b-b5dee726f67d,23.0198156,72.5574389
6abc1362-db56-4868-8cba-03c235989537,23.0226084,72.5563766
3b7552a0-f4d2-4cf3-a460-6917d198022a,23.0227054,72.5559827
24a5d316-b5b6-467e-ac88-37267f570304,23.0110402,72.5629563
35f63d73-fbf5-4221-9bdf-5cb670faee63,23.0110618,72.5631435
58da0385-0603-4602-a58c-bde957cee20b,23.0112559,72.5631294
f91b2fdc-b861-48d3-a3ec-ccd37b97a621,23.0112667,72.5629068
2a32fb03-40d7-40ce-a026-1f44dd1b2603,23.0227025,72.556159
b7b0487b-926f-4a91-81bb-ff1f67f0e155,23.0196266,72.5572685
4eb2471c-5387-4765-9628-439da9573a6a,23.0141608,72.5650202
0933f4b1-60f5-43bb-886d-b7c31ae4ba10,23.0141867,72.5649696
9cf41436-3cd9-48c0-9485-b1512d8b239c,23.0142161,72.5650728
d771ab7d-2fbc-42d9-9af2-c4eb5cf86e16,23.0142506,72.5650015
8f2fafbf-ac54-48bb-bcf9-35a3f8e6683c,23.0145846,72.5304736
a423c404-96c5-4e5c-a862-c9671f30e4c7,23.0146783,72.5304539
00556e32-9d9b-4baf-a966-e51ef2e5762c,23.014702,72.5306804
ece329a8-ad7a-4c70-b225-b83fff38242f,23.0146147,72.5307019
50fe71a1-50ac-48c5-85a0-0a97b3d59731,23.0145294,72.5305336
53fd1575-a4db-4b0e-9bc6-0ed559a1b46d,23.0145428,72.530624
56d52812-8675-4aeb-9676-6f7c9eef1b6b,23.014753,72.5305982
52362329-81f1-4e5c-af8f-1e2bab5c7d1c,23.0147415,72.5305101
890cc61b-e2db-48dd-9821-dab287c9c398,22.9954814,72.5336987
9ed182ff-4e4e-4955-a104-2ae2330aedc3,22.9953791,72.5335503
9856fb18-67b0-41a5-9ed5-ee6964b2bba3,23.0145846,72.5304736
9e20b5db-ec91-4f4a-b11e-4fc634930f0c,23.0146783,72.5304539
71b9ce40-7f4b-486a-80a2-831f63520691,23.014702,72.5306804
b68a4f8b-7056-48f1-b0e2-e61478f2246a,23.0146147,72.5307019
1952ad4a-aba0-4f26-be32-be91e329b37f,23.0145294,72.5305336
32beca09-bc2e-4e3d-9b17-6b6b48d42af4,23.0145428,72.530624
fc3a539c-f02b-487c-b16d-20a21a52b5cd,23.014753,72.5305982
f49a6064-f36a-403a-aeb8-2bebda0ebf30,23.0147415,72.5305101
c7444bdb-2cfe-4e02-8724-c3dbf33931cb,23.0223911,72.5559952
0cd6ec7a-32bb-491e-bb3c-4a4c58026668,23.0222915,72.5562383
02da0a6f-c49a-40f7-aa03-f1bd117eec76,23.0195352,72.5574355
4b3fe741-3a84-47e0-84fa-cc8977c6e8a7,23.0198156,72.5574389
6a879a8e-99eb-4e0b-b115-59808de0ecaf,23.0226084,72.5563766
eadce5a0-d658-4110-bd39-e53e6b27f654,23.0227054,72.5559827
c448c91f-debf-42cf-b49d-006da1381652,23.0227025,72.556159
cb2d8e9b-deee-4df5-9897-b1a175f6ce88,23.0196266,72.5572685
206101af-3900-4a34-93b6-8d2cdbcceba0,23.0326349,72.560077
2a89b2a9-52ea-4f11-bf01-ac4e61c93ec0,23.0326851,72.5601
afc3d0a5-ba1b-4027-9679-a747135aedfd,23.0365219,72.5610405
d3a6f3e7-e79f-4007-949c-8de7baec3fdb,23.0366171,72.5610824
09ee281f-0bca-4cd4-b8fa-221b811f5c5e,23.0364719,72.5611405
4b62e163-6180-4e6d-bbd5-01dc84eaa731,23.0365662,72.561175
e47e7e6f-72c7-4473-b1e9-3cc923425be5,23.0326438,72.5599639
baee2309-0f22-475d-a52e-2eeb2d8b25ac,23.0327015,72.5599899
ef9e6ce2-7b02-49b1-b39d-1aaefa946262,23.0426653,72.5490698
dec78baf-c4da-4623-b3fa-e7436ea0a928,23.0426838,72.5491598
24760e55-5751-4c18-bf56-d549837fdc7e,23.0427263,72.5490976
8576b275-e992-48cf-a846-563a8cc93ec0,23.0426252,72.5491345
5cd4c9c3-13db-4263-a76e-6c21721776ef,23.0110402,72.5629563
8ebc4193-3b24-4609-a309-d2168f061210,23.0110618,72.5631435
a76ed140-60e0-4749-b74a-558bebe9f371,23.0112559,72.5631294
5c83bb70-f240-4ee8-862b-ddcee2f486b4,23.0112667,72.5629068